title,description,url,publishedAt
"Earnings playbook: Your guide to the busiest week of the season, including Microsoft and Apple",No Description,https://www.cnbc.com/2024/07/28/earnings-playbook-your-guide-to-the-busiest-week-of-the-season.html,No Date
China just expanded its efforts to boost consumption. Here are some stocks to watch,No Description,https://www.cnbc.com/2024/07/28/china-just-expanded-its-efforts-to-boost-consumption-here-are-some-stocks-to-watch.html,No Date
Apple and Microsoft are among the 'Magnificent Seven' stocks set to report next week. Here's what...,No Description,https://www.cnbc.com/2024/07/26/most-magnificent-seven-stocks-report-next-week-heres-what-that-means.html,No Date
"Stocks soar, Dow closes 650 points higher buoyed by bullish inflation report: Live updates",No Description,https://www.cnbc.com/2024/07/25/stock-market-today-live-updates.html,No Date
'Rate cut winners': Barclays names global stocks to buy when interest rates are cut,No Description,https://www.cnbc.com/2024/07/29/rate-cut-winners-barclays-names-stocks-to-buy-when-rates-are-cut.html,No Date
"Here's how to trade the S&P 500 after the volatility, according to the pros",No Description,https://www.cnbc.com/2024/07/29/how-to-trade-the-sp-500-after-the-sell-off-according-to-the-pros.html,No Date
These drugmakers are narrowing Eli Lilly and Novo Nordisk's lead in weight loss,No Description,https://www.cnbc.com/2024/07/28/these-drugmakers-are-catching-up-to-eli-lilly-and-novo-nordisk.html,No Date
China just expanded its efforts to boost consumption. Stocks to watch,No Description,https://www.cnbc.com/2024/07/28/china-just-expanded-its-efforts-to-boost-consumption-here-are-some-stocks-to-watch.html,No Date
Buffett starts downsizing his Bank of America bet. What could be behind the move,No Description,https://www.cnbc.com/2024/07/28/whats-behind-warren-buffett-shrinking-his-bank-of-america-bet.html,No Date
'Get Britain building again': New UK finance chief restores housing targets,No Description,https://www.cnbc.com/2024/07/08/uk-election-2024-rachel-reeves-announces-growth-measures.html,No Date
Britain's Labour pulled off a thumping election victory with just 34% of the national vote,No Description,https://www.cnbc.com/2024/07/05/uk-election-2024-britains-labour-pulled-off-a-thumping-election-victory.html,No Date
UK's Labour Party secures landslide victory in general election,No Description,https://www.cnbc.com/video/2024/07/05/uks-labour-party-secures-landslide-victory-in-general-election.html,No Date
"Labour does not have much headroom in terms of fiscal changes, economist says",No Description,https://www.cnbc.com/video/2024/07/05/labour-does-not-have-much-headroom-in-terms-of-fiscal-changes-economist.html,No Date
Outgoing UK PM Rishi Sunak to step down as Conservative Party leader,No Description,https://www.cnbc.com/2024/07/05/uk-election-rishi-sunak-to-step-down-as-conservative-party-leader-.html,No Date
World shatters heat record for the second time in just two days,No Description,https://www.cnbc.com/2024/07/24/climate-crisis-world-shatters-heat-record-for-second-consecutive-day.html,No Date
"World logs hottest day since records began, researchers say",No Description,https://www.cnbc.com/2024/07/23/climate-crisis-world-logs-hottest-day-since-records-began.html,No Date
Scientists discover ‘dark oxygen’ in depths of Pacific Ocean in landmark study,No Description,https://www.cnbc.com/2024/07/23/dark-oxygen-discovered-in-the-deep-sea-in-groundbreaking-study.html,No Date
This cement startup says it goes beyond net zero to true zero carbon emissions,No Description,https://www.cnbc.com/2024/07/10/sublime-systems-says-its-cement-made-with-zero-carbon-emissions.html,No Date
"Composting set for U.S. boom, and it needs one, decades behind recycling",No Description,https://www.cnbc.com/2024/06/29/composting-food-waste-set-for-boom-decades-behind-recycling.html,No Date
'Sports tourism' is huge. But the Summer Olympics caused travel to Paris to plummet,No Description,https://www.cnbc.com/2024/07/29/travel-to-paris-dropped-because-of-the-summer-olympic-games.html,No Date
Airlines roll out business seat upgrades as demand set to rise,No Description,https://www.cnbc.com/2024/07/26/airlines-roll-out-business-class-upgrades-at-farnborough-airshow-.html,No Date
"She spent four months in France and Spain on a $6,000 budget",No Description,https://www.cnbc.com/2024/07/26/how-to-take-a-break-from-work-and-travel-in-europe-on-a-budget-.html,No Date
How the ultra-wealthy travel in Paris,No Description,https://www.cnbc.com/2024/07/24/how-the-ultra-wealthy-travel-in-paris.html,No Date
An Asian city is named the safest destination in the world for travelers,No Description,https://www.cnbc.com/2024/07/23/singapore-is-named-the-safest-destination-in-the-world-for-travelers.html,No Date
Not finding your dream job? Asking yourself these questions can help open up your search,No Description,https://www.cnbc.com/2024/07/28/ask-yourself-these-questions-to-see-new-opportunities-in-the-job-market.html,No Date
33-year-old commutes from New York City to the Hamptons every summer to nanny,No Description,https://www.cnbc.com/2024/07/28/33-year-old-commutes-from-new-york-city-to-the-hamptons-every-summer-to-nanny-the-best-job-ive-ever-had.html,No Date
This is the best state to retire in 2024—it's not Florida or California,No Description,https://www.cnbc.com/2024/07/28/best-us-states-to-retire.html,No Date
I left the U.S. for Italy 20 years ago—the 4 most important lessons I learned,No Description,https://www.cnbc.com/2024/07/28/i-left-the-us-for-italy-why-im-happier-now.html,No Date
"How to be happier, wealthier and more financially secure",No Description,https://www.cnbc.com/2024/07/10/achieve-financial-wellness-be-happier-wealthier-and-more-secure.html,No Date
What is the internet of bodies?,No Description,https://www.cnbc.com/video/2024/05/31/what-is-the-internet-of-bodies.html,No Date
How the world got into $315 trillion of debt,No Description,https://www.cnbc.com/video/2024/05/28/how-the-world-got-into-315-trillion-of-debt.html,No Date
eVTOLS: Are flying cars finally becoming reality?,No Description,https://www.cnbc.com/video/2024/03/28/evtols-how-flying-cars-are-becoming-reality.html,No Date
How China's property bubble burst,No Description,https://www.cnbc.com/video/2024/02/29/how-chinas-property-bubble-burst.html,No Date
What is the World Economic Forum?,No Description,https://www.cnbc.com/video/2024/01/15/what-is-the-world-economic-forum.html,No Date
